leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
TXL000182,Kip Averitt,Kip,,Averitt,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1060.jpg,2010-06-19 03:51:42.033000,2011-01-11 18:41:26.081000
TXL000183,John Carona,John,,Carona,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1150.jpg,2010-06-19 03:51:42.035000,2015-01-07 22:02:52.111000
TXL000184,Wendy Davis,Wendy,,Davis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1155.jpg,2010-06-19 03:51:42.049000,2015-01-07 22:02:52.109000
TXL000185,Bob Deuell,Bob,,Deuell,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1160.jpg,2010-06-19 03:51:42.051000,2015-01-07 22:02:52.115000
TXL000186,David Dewhurst,David,,Dewhurst,,,False,tx,,,Republican,http://upload.wikimedia.org/wikipedia/commons/f/f2/David_Dewhurst.jpg,2010-06-19 03:51:42.053000,2016-05-02 08:30:02.125000
TXL000187,Robert Duncan,Robert,,Duncan,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1165.jpg,2010-06-19 03:51:42.056000,2014-10-07 13:44:56.305000
TXL000188,Rodney Ellis,Rodney,,Ellis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1185.jpg,2010-06-19 03:51:42.058000,2017-01-29 04:46:05.442000
TXL000189,Kevin Eltife,Kevin,,Eltife,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1225.jpg,2010-06-19 03:51:42.061000,2017-01-29 04:46:01.141000
TXL000191,Troy Fraser,Troy,,Fraser,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1190.jpg,2010-06-19 03:51:42.066000,2017-01-29 04:46:09.473000
TXL000192,Mario Gallegos Jr.,Mario,,Gallegos,Jr.,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1245.jpg,2010-06-19 03:51:42.068000,2013-01-09 00:29:36.965000
TXL000193,Chris Harris,Chris,,Harris,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1215.jpg,2010-06-19 03:51:42.071000,2013-01-09 00:29:36.967000
TXL000194,Glenn Hegar,Glenn,,Hegar,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1230.jpg,2010-06-19 03:51:42.073000,2015-01-07 22:02:52.113000
TXL000197,Mike Jackson,Mike,,Jackson,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1270.jpg,2010-06-19 03:51:42.081000,2013-01-09 00:29:36.968000
TXL000201,Steve Ogden,Steve,,Ogden,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1415.jpg,2010-06-19 03:51:42.090000,2013-01-09 00:29:36.969000
TXL000204,Florence Shapiro,Florence,,Shapiro,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1530.jpg,2010-06-19 03:51:42.098000,2013-01-09 00:29:36.971000
TXL000205,Eliot Shapleigh,Eliot,,Shapleigh,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1540.jpg,2010-06-19 03:51:42.100000,2011-01-11 18:41:26.081000
TXL000207,Leticia Van de Putte,Leticia,,Van de Putte,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1615.jpg,2010-06-19 03:51:42.105000,2015-03-11 15:26:42.272000
TXL000209,Jeff Wentworth,Jeff,,Wentworth,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1620.jpg,2010-06-19 03:51:42.110000,2013-01-09 00:29:36.972000
TXL000212,Tommy Williams,Tommy,,Williams,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1655.jpg,2010-06-19 03:51:42.128000,2014-10-06 15:07:58.902000
TXL000219,Jimmie Don Aycock,Jimmie Don,,Aycock,,,False,tx,,,,http://www.house.state.tx.us/photos/members/2145.jpg,2010-06-19 03:51:42.144000,2017-06-01 10:35:57.369000
TXL000220,Leo Berman,Leo,,Berman,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2205.jpg,2010-06-19 03:51:42.147000,2013-01-09 00:29:36.912000
TXL000222,Valinda Bolton,Valinda,,Bolton,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2240.jpg,2010-06-19 03:51:42.152000,2011-01-11 18:41:26.074000
TXL000224,Dan Branch,Dan,,Branch,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2280.jpg,2010-06-19 03:51:42.156000,2015-01-07 22:02:52.037000
TXL000225,Betty Brown,Betty,,Brown,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2265.jpg,2010-06-19 03:51:42.175000,2011-01-11 18:41:26.071000
TXL000226,Fred Brown,Fred,,Brown,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2270.jpg,2010-06-19 03:51:42.177000,2012-06-01 18:16:47.052000
TXL000227,Lon Burnam,Lon,,Burnam,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2255.jpg,2010-06-19 03:51:42.179000,2015-01-07 22:02:52.093000
TXL000229,William Callegari,William,,Callegari,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2295.jpg,2010-06-19 03:51:42.184000,2015-01-07 22:02:52.049000
TXL000230,Joaquin Castro,Joaquin,,Castro,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2495.jpg,2010-06-19 03:51:42.186000,2013-01-09 00:29:36.914000
TXL000231,Norma Chavez,Norma,,Chavez,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2585.jpg,2010-06-19 03:51:42.189000,2011-01-11 18:41:26.077000
TXL000232,Warren Chisum,Warren,,Chisum,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2480.jpg,2010-06-19 03:51:42.191000,2013-01-09 00:29:36.915000
TXL000233,Wayne Christian,Wayne,,Christian,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2525.jpg,2010-06-19 03:51:42.193000,2013-01-09 00:29:36.917000
TXL000234,Ellen Cohen,Ellen,,Cohen,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2425.jpg,2010-06-19 03:51:42.196000,2011-01-11 18:41:26.067000
TXL000237,Frank Corte Jr.,Frank,,Corte,Jr.,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2595.jpg,2010-06-19 03:51:42.203000,2011-01-11 18:41:26.066000
TXL000238,Joe Crabb,Joe,,Crabb,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2605.jpg,2010-06-19 03:51:42.205000,2011-01-11 18:41:26.066000
TXL000241,Myra Crownover,Myra,,Crownover,,,False,tx,,,,http://www.house.state.tx.us/photos/members/2640.jpg,2010-06-19 03:51:42.212000,2017-04-10 02:46:56.464000
TXL000243,John Davis,John,,Davis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2620.jpg,2010-06-19 03:51:42.217000,2015-01-07 22:02:52.044000
TXL000246,Joe Driver,Joe,,Driver,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2705.jpg,2010-06-19 03:51:42.224000,2013-01-09 00:29:36.918000
TXL000248,Jim Dunnam,Jim,,Dunnam,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2660.jpg,2010-06-19 03:51:42.248000,2011-01-11 18:41:26.076000
TXL000250,Al Edwards,Al,,Edwards,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2770.jpg,2010-06-19 03:51:42.252000,2011-01-11 18:41:26.068000
TXL000251,Craig Eiland,Craig,,Eiland,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2775.jpg,2010-06-19 03:51:42.255000,2015-01-07 22:02:52.065000
TXL000252,Rob Eissler,Rob,,Eissler,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2780.jpg,2010-06-19 03:51:42.257000,2013-01-09 00:29:36.919000
TXL000254,Kirk England,Kirk,,England,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2805.jpg,2010-06-19 03:51:42.262000,2011-01-11 18:41:26.063000
TXL000255,David Farabee,David,,Farabee,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2795.jpg,2010-06-19 03:51:42.264000,2011-01-11 18:41:26.076000
TXL000256,Joe Farias,Joe,,Farias,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2820.jpg,2010-06-19 03:51:42.286000,2016-04-27 19:43:37.883000
TXL000258,Allen Fletcher,Allen,,Fletcher,,,False,tx,,,,http://www.house.state.tx.us/photos/members/2830.jpg,2010-06-19 03:51:42.291000,2017-06-01 10:35:57.356000
TXL000259,Kino Flores,Kino,,Flores,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2840.jpg,2010-06-19 03:51:42.293000,2011-01-11 18:41:26.071000
TXL000261,Stephen Frost,Stephen,,Frost,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2860.jpg,2010-06-19 03:51:42.298000,2011-01-11 18:41:26.052000
TXL000262,Pete Gallego,Pete,,Gallego,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2920.jpg,2010-06-19 03:51:42.300000,2013-01-09 00:29:36.920000
TXL000263,Dan Gattis,Dan,,Gattis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2960.jpg,2010-06-19 03:51:42.302000,2011-01-11 18:41:26.068000
TXL000266,Veronica Gonzales,Veronica,,Gonzales,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2910.jpg,2010-06-19 03:51:42.310000,2013-01-09 00:29:36.921000
TXL000267,Yvonne Gonzalez Toureilles,Yvonne,,Gonzalez Toureilles,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4660.jpg,2010-06-19 03:51:42.312000,2011-01-11 18:41:26.071000
TXL000270,Mike Hamilton,Mike,,Hamilton,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3050.jpg,2010-06-19 03:51:42.329000,2013-01-09 00:29:36.922000
TXL000272,Rick Hardcastle,Rick,,Hardcastle,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3160.jpg,2010-06-19 03:51:42.334000,2013-01-09 00:29:36.924000
TXL000273,Patricia Harless,Patricia,,Harless,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3150.jpg,2010-06-19 03:51:42.336000,2017-06-01 10:35:57.375000
TXL000274,Linda Harper-Brown,Linda,,Harper-Brown,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3165.jpg,2010-06-19 03:51:42.349000,2015-01-07 22:02:52.035000
TXL000275,Will Hartnett,Will,,Hartnett,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3170.jpg,2010-06-19 03:51:42.351000,2013-01-09 00:29:36.926000
TXL000276,Joe Heflin,Joe,,Heflin,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3175.jpg,2010-06-19 03:51:42.353000,2011-01-11 18:41:26.079000
TXL000279,Harvey Hilderbran,Harvey,,Hilderbran,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3250.jpg,2010-06-19 03:51:42.361000,2015-01-07 22:02:52.072000
TXL000280,Scott Hochberg,Scott,,Hochberg,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3305.jpg,2010-06-19 03:51:42.363000,2013-01-09 00:29:36.927000
TXL000281,Mark Homer,Mark,,Homer,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3325.jpg,2010-06-19 03:51:42.365000,2011-01-11 18:41:26.069000
TXL000282,Chuck Hopson,Chuck,,Hopson,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3330.jpg,2010-06-19 03:51:42.368000,2013-01-09 00:29:36.928000
TXL000284,Charlie Howard,Charlie,,Howard,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3315.jpg,2010-06-19 03:51:42.373000,2013-01-09 00:29:36.930000
TXL000285,Bryan Hughes,Bryan,,Hughes,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3340.jpg,2010-06-19 03:51:42.376000,2017-06-01 10:35:57.359000
TXL000287,Carl Isett,Carl,,Isett,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3375.jpg,2010-06-19 03:51:42.381000,2011-01-11 18:41:26.079000
TXL000288,Jim Jackson,Jim,,Jackson,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3350.jpg,2010-06-19 03:51:42.384000,2013-01-09 00:29:36.931000
TXL000290,Delwin Jones,Delwin,,Jones,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3405.jpg,2010-06-19 03:51:42.389000,2011-01-11 18:41:26.078000
TXL000291,Jim Keffer,"James L. ""Jim""",,Keffer,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3480.jpg,2010-06-19 03:51:42.391000,2017-06-01 10:35:57.367000
TXL000292,Carol Kent,Carol,,Kent,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3420.jpg,2010-06-19 03:51:42.394000,2011-01-11 18:41:26.052000
TXL000293,Susan King,Susan Lewis,,King,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3460.jpg,2010-06-19 03:51:42.397000,2017-06-01 10:35:57.378000
TXL000296,Tim Kleinschmidt,Tim,,Kleinschmidt,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3430.jpg,2010-06-19 03:51:42.405000,2015-03-11 15:18:42.187000
TXL000298,Edmund Kuempel,Edmund,,Kuempel,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3450.jpg,2010-06-19 03:51:42.410000,2011-01-11 18:41:26.073000
TXL000300,Ken Legler,Ken,,Legler,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3550.jpg,2010-06-19 03:51:42.416000,2012-12-17 19:51:34.947000
TXL000301,David Leibowitz,David,,Leibowitz,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3560.jpg,2010-06-19 03:51:42.418000,2011-01-11 18:41:26.064000
TXL000302,Tryon Lewis,Tryon,,Lewis,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3570.jpg,2010-06-19 03:51:42.421000,2015-01-07 22:02:52.089000
TXL000304,Jerry Madden,Jerry,,Madden,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3715.jpg,2010-06-19 03:51:42.426000,2013-01-09 00:29:36.932000
TXL000305,Diana Maldonado,Diana,,Maldonado,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3720.jpg,2010-06-19 03:51:42.429000,2011-01-11 18:41:26.074000
TXL000306,Barbara Mallory Caraway,Barbara Mallory,,Caraway,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3730.jpg,2010-06-19 03:51:42.431000,2013-01-09 00:29:36.933000
TXL000307,"Márquez, Marisa",Marisa,,Márquez,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3750.jpg,2010-06-19 03:51:42.434000,2017-06-01 10:35:57.373000
TXL000309,Trey Martinez Fischer,Trey,,Martinez Fischer,,,False,tx,,,,http://www.house.state.tx.us/photos/members/2835.jpg,2010-06-19 03:51:42.439000,2017-06-01 10:35:57.381000
TXL000310,Ruth Jones McClendon,Ruth Jones,,McClendon,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3650.jpg,2010-06-19 03:51:42.442000,2016-12-28 00:23:50.976000
TXL000311,Jim McReynolds,Jim,,McReynolds,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3845.jpg,2010-06-19 03:51:42.444000,2011-01-11 18:41:26.065000
TXL000313,Tommy Merritt,Tommy,,Merritt,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3840.jpg,2010-06-19 03:51:42.471000,2011-01-11 18:41:26.076000
TXL000314,Robert Miklos,Robert,,Miklos,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3847.jpg,2010-06-19 03:51:42.473000,2011-01-11 18:41:26.052000
TXL000315,Doug Miller,Doug,,Miller,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3848.jpg,2010-06-19 03:51:42.476000,2017-06-01 10:35:57.363000
TXL000316,Sid Miller,Sid,,Miller,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3835.jpg,2010-06-19 03:51:42.490000,2013-01-09 00:29:36.935000
TXL000319,Elliott Naishtat,Elliott,,Naishtat,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3885.jpg,2010-06-19 03:51:42.499000,2017-06-01 10:35:57.364000
TXL000321,Dora Olivo,Dora,,Olivo,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3886.jpg,2010-06-19 03:51:42.505000,2011-01-11 18:41:26.069000
TXL000322,Rob Orr,Rob,,Orr,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3930.jpg,2010-06-19 03:51:42.508000,2015-01-07 22:02:52.077000
TXL000323,Solomon Ortiz Jr.,Solomon,,Ortiz,Jr.,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3940.jpg,2010-06-19 03:51:42.511000,2011-01-11 18:41:26.070000
TXL000324,John Otto,John,,Otto,,,False,tx,,,,http://www.house.state.tx.us/photos/members/3945.jpg,2010-06-19 03:51:42.514000,2017-06-01 10:35:57.370000
TXL000326,Diane Patrick,Diane,,Patrick,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4050.jpg,2010-06-19 03:51:42.520000,2015-01-07 22:02:52.106000
TXL000327,Ken Paxton,Ken,,Paxton,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1020.jpg,2010-06-19 03:51:42.523000,2015-01-07 22:02:52.124000
TXL000328,Aaron Peña,Aaron,,Peña,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4140.jpg,2010-06-19 03:51:42.526000,2013-01-09 00:29:36.938000
TXL000330,Jim Pitts,Jim,,Pitts,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4185.jpg,2010-06-19 03:51:42.532000,2015-01-07 22:02:52.029000
TXL000332,Paula Pierson,Paula,,Pierson,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4175.jpg,2010-06-19 03:51:42.538000,2011-01-11 18:41:26.080000
TXL000333,Chente Quintanilla,Chente,,Quintanilla,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4230.jpg,2010-06-19 03:51:42.541000,2013-01-09 00:29:36.939000
TXL000335,Debbie Riddle,Debbie,,Riddle,,,False,tx,,,,http://www.house.state.tx.us/photos/members/4220.jpg,2010-06-19 03:51:42.546000,2017-06-01 10:35:57.361000
TXL000336,Tara Rios Ybarra,Tara,,Rios Ybarra,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4225.jpg,2010-06-19 03:51:42.549000,2011-01-11 18:41:26.073000
TXL000337,Allan Ritter,Allan,,Ritter,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4250.jpg,2010-06-19 03:51:42.552000,2015-01-07 22:02:52.055000
TXL000339,Patrick Rose,Patrick,,Rose,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4350.jpg,2010-06-19 03:51:42.579000,2011-01-11 18:41:26.074000
TXL000340,Ralph Sheffield,Ralph,,Sheffield,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4430.jpg,2010-06-19 03:51:42.582000,2015-01-07 22:02:52.074000
TXL000341,Mark Shelton,Mark,,Shelton,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4450.jpg,2010-06-19 03:51:42.585000,2013-01-09 00:29:36.940000
TXL000342,Wayne Smith,Wayne,,Smith,,,False,tx,,,,http://www.house.state.tx.us/photos/members/4540.jpg,2010-06-19 03:51:42.588000,2017-06-01 10:35:57.383000
TXL000343,Todd Smith,Todd,,Smith,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4525.jpg,2010-06-19 03:51:42.591000,2013-01-09 00:29:36.941000
TXL000345,Burt Solomons,Burt,,Solomons,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4505.jpg,2010-06-19 03:51:42.598000,2013-01-09 00:29:36.942000
TXL000346,Mark Strama,Mark,,Strama,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4545.jpg,2010-06-19 03:51:42.601000,2014-02-19 14:44:34.492000
TXL000348,David Swinford,David,,Swinford,,,False,tx,,,,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A4570.jpg,2010-06-19 03:51:42.607000,2011-01-11 18:41:26.079000
